,Title,Genre,Album_Date,Video_Date,Score
0,Quelle Chris - Deathfame ALBUM REVIEW, 2022 / mello music group / abstract hip hop,2022,5/22/2022,7
1,Florence + the Machine - Dance Fever ALBUM REVIEW," 2022 / polydor / pop rock, chamber pop",2022,5/19/2022,7
2,The Smile - A Light for Attracting Attention ALBUM REVIEW, 2022 / xl / art rock,2022,5/18/2022,7
3,Kendrick Lamar - Mr. Morale & The Big Steppers ALBUM REVIEW, 2022 / Rap,2022,5/16/2022,8
4,Sharon Van Etten - We've Been Going About This All Wrong ALBUM REVIEW, 2022 / jagjaguwar / indie rock,2022,5/13/2022,6
5,Otoboke Beaver - Super Champon ALBUM REVIEW," 2022 / damnably / hardcore, garage punk",2022,5/11/2022,8
6,Jack Harlow - Come Home The Kids Miss You ALBUM REVIEW, 2022 / generation now / pop rap,2022,5/10/2022,3
7,Arcade Fire - We ALBUM REVIEW, 2022 / columbia / indie rock,2022,5/9/2022,4
8,Rammstein - Zeit ALBUM REVIEW, 2022 / universal / alternative metal,2022,5/7/2022,6
9,Toro y Moi - Mahal ALBUM REVIEW," 2022 / dead oceans / psych soul, hypnagogic pop",2022,5/5/2022,7
10,Haru Nemuri - Shunka Ryougen ALBUM REVIEW," 2022 / to3s / art pop, post-hardcore,  experimental hip hop",2022,5/4/2022,7
11,Future - I Never Liked You ALBUM REVIEW, 2022 / epic / trap rap,2022,5/3/2022,5
12,Spiritualized - Everything Was Beautiful ALBUM REVIEW," 2022 / fat possum / space rock, neo-psych, dream pop",2022,5/2/2022,8
13,King Gizzard & The Lizard Wizard - Omnium Gatherum ALBUM REVIEW, 2022 / self-released / psych rock,2022,4/27/2022,6
14,Pusha T - It's Almost Dry ALBUM REVIEW," 2022 / g.o.o.d. music / coke rap, alternative hip hop",2022,4/26/2022,8
15,Undeath - It's Time... To Rise From the Grave ALBUM REVIEW, 2022 / prosthetic / death metal,2022,4/25/2022,7
16,Guerilla Toss - Famously Alive ALBUM REVIEW," 2022 / sub pop / neo-psych, dance-punk, synthpop",2022,4/25/2022,6
17,Daniel Rossen - You Belong There ALBUM REVIEW," 2022 / warp / chamber folk, singer-songwriter",2022,4/21/2022,8
18,Orville Peck - Bronco ALBUM REVIEW, 2022 / columbia / alternative country,2022,4/20/2022,7
19,Vince Staples - Ramona Park Broke My Heart ALBUM REVIEW, 2022 / blacksmith / west coast hip hop,2022,4/19/2022,6
20,billy woods - Aethiopes ALBUM REVIEW, 2022 / backwoodz studioz / abstract hip hop,2022,4/18/2022,8
21,Jack White - Fear of the Dawn ALBUM REVIEW, 2022 / third man / alternative rock,2022,4/15/2022,7
22,Yung Lean - Stardust MIXTAPE REVIEW, 2022 / year0001 / cloud rap,2022,4/14/2022,5
23,Wet Leg - Self-Titled ALBUM REVIEW, 2022 / domino / indie rock,2022,4/13/2022,6
24,Father John Misty - Chloë and the Next 20th Century ALBUM REVIEW, 2022 / sub pop / traditional pop,2022,4/12/2022,4
25,Kilo Kish - American Gurl ALBUM REVIEW, 2022 / kisha soundscapes / electropop,2022,4/10/2022,8
26,PUP - The Unraveling of PUPTheBand ALBUM REVIEW, 2022 / rise / punk rock,2022,4/8/2022,6
27,Red Hot Chili Peppers - Unlimited Love ALBUM REVIEW, 2022 / warner / funk rock,2022,4/6/2022,4
28,Dreamville - D-Day MIXTAPE REVIEW," 2022 / dreamville / hip hop, trap rap",2022,4/5/2022,7
29,Ibibio Sound Machine - Electricity ALBUM REVIEW," 2022 / merge / electro, afro-funk, synth funk, electro-disco",2022,3/31/2022,7
30,Denzel Curry - Melt My Eyez See Your Future ALBUM REVIEW," 2022 / loma vista / conscious hip hop, jazz \u0026 psych rap",2022,3/30/2022,8
31,Soul Glo - Diaspora Problems ALBUM REVIEW," 2022 / epitaph / hardcore, punk rap, screamo",2022,3/29/2022,9
32,Bladee & Ecco2k - Crest ALBUM REVIEW, 2022 / year0001 / ethereal pop,2022,3/24/2022,8
33,Charli XCX - Crash ALBUM REVIEW, 2022 / asylum / dance pop,2022,3/22/2022,5
34,Weezer - SZNZ: Spring EP REVIEW," 2022 / crush / power pop, alt rock",2022,3/21/2022,5
35,Alex Cameron - Oxy Music ALBUM REVIEW," 2022 / secretly canadian / soft rock, new wave",2022,3/17/2022,6
36,Benny the Butcher - Tana Talk 4 ALBUM REVIEW," 2022 / griselda / east coast hip hop, coke rap",2022,3/16/2022,8
37,Rex Orange County - Who Cares? ALBUM REVIEW," 2022 / sony / indie pop, neo-soul",2022,3/15/2022,7
38,Ghost - Impera ALBUM REVIEW," 2022 / loma vista / hard rock, glam metal",2022,3/14/2022,5
39,The Cool Kids - Before Sh!t Got Weird ALBUM REVIEW, 2022 / sounds like fun / alternative hip hop,2022,3/12/2022,7
40,Charlotte Adigéry & Bolis Pupul - Topical Dancer ALBUM REVIEW," 2022 / deewee / synthpop, techno",2022,3/10/2022,8
41,vein.fm - This World Is Going to Ruin You ALBUM REVIEW," 2022 / closed casket activities / metalcore, alternative metal",2022,3/9/2022,6
42,Nilüfer Yanya - Painless ALBUM REVIEW, 2022 / ato / indie rock,2022,3/8/2022,7
43,Chief Keef - 4Nem ALBUM REVIEW, 2021 / glo gang / trap rap,2021,3/7/2022,7
44,EarthGang - Ghetto Gods ALBUM REVIEW," 2022 / dreamville / conscious hip hop, trap rap, neo-soul",2022,3/6/2022,7
45,Avril Lavigne - Love Sux ALBUM REVIEW, 2022 / elektra / pop punk,2022,3/2/2022,4
46,Conway the Machine - God Don't Make Mistakes ALBUM REVIEW, 2022 / shady / east coast hip hop,2022,3/1/2022,9
47,Zeal and Ardor - Zeal & Ardor ALBUM REVIEW, 2022 / mvka / alternative metal,2022,2/28/2022,4
48,Black Dresses - Forget Your Own Face ALBUM REVIEW," 2022 / self-released / electro-industrial, noise pop",2022,2/26/2022,8
49,Beach House - Once Twice Melody ALBUM REVIEW, 2022 / sub pop / dream pop,2022,2/24/2022,8
50,Big K.R.I.T. - Digital Roses Don't Die ALBUM REVIEW," 2022 / multi alumni / southern hip hop, smooth soul",2022,2/23/2022,4
51,Oliver Tree - Cowboy Tears ALBUM REVIEW, 2022 / atlantic / alternative pop,2022,2/22/2022,3
52,Yeat - 2 Alivë ALBUM REVIEW, 2022 / geffen / trap rap,2022,2/21/2022,4
53,Spoon - Lucifer on the Sofa ALBUM REVIEW, 2022 / matador / indie rock,2022,2/16/2022,7
54,$NOT - Ethereal ALBUM REVIEW, 2022 / 300 entertainment / trap rap,2022,2/15/2022,3
55,Big Thief - Dragon New Warm Mountain I Believe in You ALBUM REVIEW, 2022 / 4ad / indie folk,2022,2/14/2022,9
56,Saba - Few Good Things ALBUM REVIEW, 2022 / pivot gang / conscious hip hop,2022,2/12/2022,6
57,yeule - Glitch Princess ALBUM REVIEW," 2022 / bayonet / glitch pop, post-industrial, ambient",2022,2/10/2022,7
58,Mitski - Laurel Hell ALBUM REVIEW," 2022 / dead oceans / synthpop, new wave",2022,2/9/2022,6
59,"Black Country, New Road - Ants from Up There ALBUM REVIEW", 2022 / ninja tune / post-rock,2022,2/8/2022,9
